epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.10415,1.48379,4.29144,1.66429,0.00784,0.9746,0.31551,0.18147,1.18523,3.3835,1.38423,0.00017148,0.00017148,0.00017148
2,6.27238,1.34608,3.99488,1.56626,0.00729,0.96508,0.37621,0.2279,0.94337,3.13458,1.21421,0.000339566,0.000339566,0.000339566
3,8.41225,1.23829,3.44364,1.35984,0.00717,0.99206,0.37746,0.24386,0.93562,3.05343,1.18574,0.000489261,0.000489261,0.000489261
4,10.3868,1.06139,2.93159,1.20871,0.00765,1,0.46256,0.33662,0.8848,2.75891,1.12889,0.000620565,0.000620565,0.000620565
5,12.3275,1.04515,2.9758,1.25738,0.71976,0.26871,0.52451,0.38177,0.90818,2.58502,1.1575,0.000733477,0.000733477,0.000733477
6,14.4166,1.00151,2.69941,1.18834,0.89443,0.1701,0.62054,0.45754,0.94735,2.63694,1.16865,0.000827998,0.000827998,0.000827998
7,16.4213,1.03308,2.96399,1.23592,0.83289,0.59253,0.78356,0.54927,0.94146,2.44601,1.19417,0.000904128,0.000904128,0.000904128
8,18.418,1.0531,2.777,1.19303,0.89895,0.70354,0.87157,0.58226,1.03897,1.73537,1.25805,0.000933851,0.000933851,0.000933851
9,20.4133,1.097,2.25718,1.20264,0.89895,0.70354,0.87157,0.58226,1.03897,1.73537,1.25805,0.000863116,0.000863116,0.000863116
10,22.4122,1.03555,2.30933,1.20092,0.83665,0.87364,0.95859,0.72428,0.9642,1.68846,1.17633,0.00079238,0.00079238,0.00079238
11,24.8511,0.91946,3.9547,1.1583,0.95707,0.88124,0.96726,0.72246,0.91897,1.46589,1.1549,0.000721645,0.000721645,0.000721645
12,26.8732,0.97131,3.35201,1.15281,0.97019,0.88768,0.9743,0.72753,0.89566,1.46346,1.13915,0.000650909,0.000650909,0.000650909
13,28.8634,0.95231,4.27898,1.17918,0.86671,0.9045,0.97575,0.74907,0.87074,1.60818,1.11046,0.000580174,0.000580174,0.000580174
14,30.8893,0.90132,3.81322,1.14223,0.90718,0.95659,0.9885,0.7632,0.85093,1.3876,1.09553,0.000509438,0.000509438,0.000509438
15,32.9275,0.89703,3.17163,1.17339,0.90718,0.95659,0.9885,0.7632,0.85093,1.3876,1.09553,0.000438703,0.000438703,0.000438703
16,34.9826,0.86943,3.11347,1.11402,0.94857,0.95397,0.98865,0.77351,0.81549,1.29532,1.06909,0.000367967,0.000367967,0.000367967
17,37.0227,0.86819,3.34804,1.08254,0.93939,0.95038,0.98864,0.77348,0.79923,1.28997,1.05266,0.000297232,0.000297232,0.000297232
18,39.0432,0.89684,2.91569,1.09016,0.97452,0.94604,0.98985,0.78726,0.7712,1.22317,1.03572,0.000226497,0.000226497,0.000226497
19,41.0752,0.83019,3.32663,1.11888,0.97376,0.9701,0.991,0.80156,0.7531,1.18291,1.02629,0.000155761,0.000155761,0.000155761
20,43.0889,0.80423,3.39601,1.05025,0.97376,0.9701,0.991,0.80156,0.7531,1.18291,1.02629,8.50255e-05,8.50255e-05,8.50255e-05
